系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
杭州地铁,轨道交通1号线(杭绍线),鉴水路,2.05,15.754,120.457067,30.098638,900000150789037,,
杭州地铁,轨道交通1号线(杭绍线),越州大道,2.58,18.334,120.480306,30.087067,900000150789038,,
杭州地铁,轨道交通1号线(杭绍线),中国轻纺城,0.886,19.22,120.487887,30.082548,900000150789039,,
杭州地铁,轨道交通1号线(杭绍线),明珠广场,0.846,20.066,120.49588,30.079374,900000150789040,,
杭州地铁,轨道交通1号线(杭绍线),瓜渚湖,1.361,21.427,120.508816,30.074421,900000150789041,,
杭州地铁,轨道交通1号线(杭绍线),镜水路,1.381,22.808,120.521504,30.068623,900000150789042,,
杭州地铁,轨道交通1号线(杭绍线),黄酒小镇,2.107,24.915,120.539694,30.058074,900000150789043,,
杭州地铁,轨道交通1号线(杭绍线),张墅,1.514,26.429,120.554367,30.053156,900000150789044,,
杭州地铁,轨道交通1号线(杭绍线),奥体中心,1.526,27.955,120.569815,30.056241,900000150789045,,
杭州地铁,轨道交通1号线(杭绍线),梅山广场,1.035,28.99,120.577799,30.050004,900000150789046,,
杭州地铁,轨道交通1号线(杭绍线),凤林,1.489,30.479,120.581681,30.037045,900000150789047,,
杭州地铁,轨道交通1号线(杭绍线),大滩,1.517,31.996,120.582573,30.023425,900000150789048,,
杭州地铁,轨道交通1号线(杭绍线),火车站,1.15,33.146,120.581237,30.013147,900000150789049,,
杭州地铁,轨道交通1号线(杭绍线),城市广场,1.007,34.153,120.581296,30.004095,900000150789050,,
杭州地铁,轨道交通1号线(杭绍线),鲁迅故里,1.391,35.544,120.580562,29.991606,900000150789051,,
杭州地铁,轨道交通1号线(杭绍线),城南大道,1.751,37.295,120.580411,29.97586,900000150789052,,
杭州地铁,轨道交通1号线(杭绍线),凤凰山,1.504,38.799,120.577787,29.962525,900000150789053,,
杭州地铁,轨道交通1号线(杭绍线),劳家葑,1.186,39.985,120.577039,29.951881,900000150789054,,
杭州地铁,轨道交通1号线(杭绍线),南池,1.403,41.388,120.575807,29.939312,900000150789055,,
杭州地铁,轨道交通1号线(杭绍线),栖湖,1.17,42.558,120.575395,29.928799,900000150789056,,
杭州地铁,轨道交通1号线(杭绍线),芳泉,1.249,43.807,120.570951,29.918247,900000150789057,,
